year_month,postal_code,customer_class,total_gallons
201311,78748,Irrigation - Multi-Family,4916400
201508,78719,Multi-Family,523400
201403,78660,Irrigation - Residential,9000
201609,78617,Irrigation - Residential,5300
201512,78725,Multi-Family,204400
201505,78703,Multi-Family,11738600
201411,78741,Multi-Family,82608000
201608,78744,Irrigation - Residential,61300
201710,78753,Irrigation - Residential,0
201307,78751,Irrigation - Multi-Family,609700
201608,78746,Irrigation - Multi-Family,1412200
201510,78737,Irrigation - Residential,19100
201603,78723,Irrigation - Multi-Family,27200
201607,78747,Multi-Family,8309200
201405,78652,Multi-Family,15700
201510,78747,Irrigation - Residential,30800
201301,78744,Irrigation - Residential,1400
201508,78748,Irrigation - Residential,86700
201803,78742,Irrigation - Multi-Family,32700
201306,78724,Multi-Family,12552000
201210,78729,Multi-Family,24221800
201308,78721,Irrigation - Multi-Family,244800
201208,78725,Multi-Family,389300
201204,78660,Irrigation - Residential,12900
201206,78724,Residential,25463800
201512,78727,Irrigation - Residential,4200
201701,78744,Irrigation - Residential,43200
201703,78724,Irrigation - Residential,24900
201307,78701,Irrigation - Multi-Family,343400
201305,78753,Irrigation - Residential,7400
201603,78701,Irrigation - Residential,17800
201411,78723,Irrigation - Multi-Family,274800
201501,78721,Irrigation - Multi-Family,26000
201710,78617,Residential,18600200
201510,78717,Irrigation - Multi-Family,8714500
201311,78721,Residential,13180800
201411,78730,Residential,31929300
201408,78652,Multi-Family,32000
201508,78747,Multi-Family,8159500
201709,78703,Irrigation - Multi-Family,915500
201401,78746,Irrigation - Multi-Family,285900
201804,78736,Multi-Family,3580800
201204,78753,Residential,42503200
201503,78752,Residential,10594000
201303,78703,Multi-Family,11535900
201508,78756,Residential,17126100
201203,78652,Multi-Family,21100
201306,78730,Residential,16378200
201204,78717,Multi-Family,7178500
201203,78731,Multi-Family,18042700
201601,78719,Multi-Family,411900
201702,78617,Irrigation - Multi-Family,4600
201610,78759,Irrigation - Residential,150700
201401,78757,Residential,30365400
201405,78703,Irrigation - Multi-Family,613900
201609,78702,Residential,26124700
201508,78731,Irrigation - Multi-Family,1143900
201309,78727,Irrigation - Residential,26100
201408,78730,Irrigation - Residential,223500
201408,78749,Irrigation - Residential,25600
201207,78719,Multi-Family,598600
201510,78702,Irrigation - Multi-Family,1407400
201212,78721,Irrigation - Residential,1900
201711,78722,Irrigation - Residential,0
201402,78701,Residential,897500
201404,78749,Irrigation - Multi-Family,3566100
201306,78726,Multi-Family,11972600
201311,78727,Irrigation - Multi-Family,2740500
201503,78613,Multi-Family,979900
201201,78753,Irrigation - Residential,0
201607,78751,Irrigation - Residential,85500
201712,78717,Irrigation - Multi-Family,2597900
201207,78725,Multi-Family,311700
201208,78705,Multi-Family,29608900
201307,78726,Irrigation - Residential,102800
201702,78735,Multi-Family,8778700
201608,78751,Irrigation - Residential,151200
201605,78750,Multi-Family,12868300
201408,78730,Residential,21171500
201807,78729,Multi-Family,26143200
201208,78754,Irrigation - Multi-Family,3788900
201405,78732,Residential,10200
201411,78751,Irrigation - Residential,94300
201205,78748,Multi-Family,15304700
201510,78721,Irrigation - Residential,12600
201507,78735,Irrigation - Multi-Family,1498600
201302,78723,Multi-Family,20400000
201602,78754,Residential,19601200
201209,78759,Irrigation - Multi-Family,3393200
201206,78704,Multi-Family,50197800
201603,78749,Irrigation - Residential,23200
201410,78717,Irrigation - Residential,18800
201607,78744,Irrigation - Residential,54000
201307,78652,Multi-Family,20000
201201,78717,Irrigation - Multi-Family,1415700
201304,78653,Multi-Family,79600
201601,78747,Irrigation - Multi-Family,183300
201404,78702,Irrigation - Residential,19600
201409,78617,Multi-Family,5025000
201301,78729,Irrigation - Residential,12600
201612,78758,Residential,34794700
201602,78751,Residential,13324300
201301,78741,Irrigation - Multi-Family,2132400
201806,78756,Multi-Family,5504600
201210,78739,Residential,58175800
201511,78739,Residential,55749600
201804,78719,Residential,1386500
201511,78736,Irrigation - Residential,16800
201212,78759,Irrigation - Residential,118000
201304,78744,Multi-Family,26201500
201411,78748,Residential,67485500
201603,78724,Irrigation - Residential,21500
201612,78717,Irrigation - Residential,18700
201208,78756,Residential,18154500
201307,78724,Residential,25521400
201407,78751,Irrigation - Residential,99900
201510,78746,Irrigation - Multi-Family,1914800
201412,78754,Multi-Family,15603700
201805,78724,Irrigation - Residential,22800
201611,78742,Irrigation - Multi-Family,142700
201202,78742,Residential,615900
201406,78725,Multi-Family,216700
201303,78727,Irrigation - Residential,1000
201211,78744,Multi-Family,26410900
201606,78721,Multi-Family,4489600
201611,78748,Irrigation - Multi-Family,7157300
201410,78748,Irrigation - Multi-Family,7359100
201603,78653,Multi-Family,71800
201212,78613,Irrigation - Multi-Family,56000
201608,78749,Irrigation - Residential,64400
201506,78717,Irrigation - Multi-Family,4947000
201512,78735,Multi-Family,8087200
201210,78759,Irrigation - Residential,117300
201801,78744,Multi-Family,32107100
201405,78721,Residential,14494100
201602,78652,Multi-Family,30300
201406,78721,Irrigation - Residential,1800
201309,78724,Multi-Family,13127900
201410,78719,Multi-Family,469600
201206,78753,Multi-Family,53878600
201405,78660,Multi-Family,3522400
201508,78757,Residential,55363600
201301,78660,Irrigation - Residential,8600
201303,78722,Residential,8430400
201301,78731,Irrigation - Residential,241000
201701,78754,Multi-Family,18945200
201211,78701,Residential,1322400
201502,78744,Residential,40655000
201308,78744,Residential,61006600
201807,78752,Residential,11858100
201606,78751,Irrigation - Multi-Family,966900
201709,78742,Residential,772200
201505,78727,Irrigation - Multi-Family,2454800
201404,78660,Irrigation - Residential,11400
201606,78723,Irrigation - Residential,7200
201607,78617,Irrigation - Residential,6800
201209,78727,Irrigation - Multi-Family,10977800
201506,78704,Irrigation - Residential,118700
201302,78704,Irrigation - Multi-Family,972800
201303,78613,Irrigation - Multi-Family,47000
201205,78723,Multi-Family,19932400
201202,78652,Irrigation - Residential,42200
201803,78750,Residential,36747900
201807,78751,Irrigation - Residential,129200
201202,78746,Irrigation - Residential,181000
201404,78729,Irrigation - Multi-Family,1273300
201603,78701,Multi-Family,14203500
201503,78702,Residential,23135300
201801,78728,Multi-Family,10254600
201409,78723,Irrigation - Multi-Family,309100
201801,78617,Residential,20112900
201405,78745,Irrigation - Multi-Family,2501000
201206,78738,Residential,9000
201612,78705,Irrigation - Residential,45700
201706,78754,Residential,25115500
201310,78704,Irrigation - Multi-Family,3461900
201607,78717,Irrigation - Residential,78600
201610,78728,Multi-Family,8060500
201704,78739,Irrigation - Multi-Family,0
201207,78753,Irrigation - Residential,2600
201206,78747,Irrigation - Multi-Family,1183500
201309,78757,Irrigation - Residential,75200
201708,78727,Multi-Family,23829800
201808,78728,Irrigation - Multi-Family,3162800
201409,78727,Irrigation - Multi-Family,8113000
201307,78744,Irrigation - Residential,2600
201607,78744,Irrigation - Multi-Family,3389700
201703,78723,Irrigation - Residential,9600
201502,78736,Irrigation - Multi-Family,48200
201207,78731,Irrigation - Residential,842400
201308,78729,Multi-Family,24687800
201404,78721,Residential,14151900
201703,78704,Residential,39204500
201701,78744,Irrigation - Multi-Family,1772300
201803,78717,Residential,26224600
201210,78729,Irrigation - Multi-Family,4058200
201305,78756,Irrigation - Multi-Family,151900
201701,78754,Residential,21329300
201401,78744,Irrigation - Multi-Family,1071600
201602,78731,Irrigation - Multi-Family,190400
201506,78744,Irrigation - Residential,26000
201603,78736,Irrigation - Multi-Family,416200
201711,78723,Multi-Family,21244000
201204,78757,Irrigation - Residential,59400
201505,78717,Irrigation - Residential,24100
201202,78725,Multi-Family,246000
201607,78735,Residential,33949500
201512,78759,Residential,45386200
201509,78617,Irrigation - Residential,5400
201309,78758,Irrigation - Residential,47600
201309,78721,Residential,17007600
201207,78751,Residential,21789700
201505,78722,Irrigation - Residential,0
201202,78745,Irrigation - Residential,13400
201511,78703,Irrigation - Multi-Family,722800
201411,78737,Irrigation - Residential,8600
201402,78724,Irrigation - Residential,12500
201201,78745,Residential,75270300
201311,78749,Irrigation - Multi-Family,4349900
201402,78728,Irrigation - Multi-Family,178100
201711,78653,Residential,1958000
201202,78738,Residential,6300
201803,78717,Irrigation - Residential,8800
201412,78736,Irrigation - Multi-Family,132500
201603,78703,Residential,45166100
201210,78729,Residential,27301100
201409,78613,Irrigation - Multi-Family,1294100
201509,78738,Residential,700
201612,78613,Irrigation - Multi-Family,610800
201210,78726,Multi-Family,12496600
201602,78725,Multi-Family,190800
201604,78730,Irrigation - Residential,66300
201408,78746,Multi-Family,14057600
201309,78719,Residential,2185700
201602,78728,Irrigation - Residential,3000
201512,78736,Multi-Family,2234800
201605,78746,Irrigation - Multi-Family,640000
201501,78722,Multi-Family,2936600
201408,78738,Residential,6500
201307,78717,Multi-Family,7410300
201401,78730,Residential,9334700
201406,78758,Irrigation - Residential,29200
201304,78613,Multi-Family,23000
201806,78724,Irrigation - Residential,29600
201409,78725,Multi-Family,241600
201201,78745,Irrigation - Multi-Family,848100
201708,78660,Irrigation - Multi-Family,3071600
201503,78717,Irrigation - Multi-Family,2210000
201807,78753,Residential,44934200
201607,78727,Residential,53351300
201710,78724,Irrigation - Multi-Family,1214500
201307,78735,Multi-Family,11265600
201211,78705,Irrigation - Residential,105600
201305,78702,Irrigation - Residential,27800
201301,78727,Residential,39205700
201605,78727,Irrigation - Multi-Family,3576500
201508,78729,Irrigation - Multi-Family,4077700
201408,78759,Irrigation - Multi-Family,1641300
201404,78617,Multi-Family,3785200
201401,78660,Irrigation - Multi-Family,6000
201211,78741,Irrigation - Residential,23500
201512,78758,Irrigation - Residential,9100
201608,78730,Irrigation - Multi-Family,1876100
201207,78745,Residential,108362000
201306,78729,Residential,26656800
201302,78719,Multi-Family,463900
201206,78724,Multi-Family,14868200
201306,78722,Multi-Family,2894000
201412,78705,Irrigation - Residential,32900
201609,78744,Irrigation - Multi-Family,3735200
201304,78723,Irrigation - Multi-Family,330400
201606,78738,Residential,1900
201703,78652,Multi-Family,59700
201405,78747,Irrigation - Residential,0
201510,78721,Residential,14735100
201211,78726,Irrigation - Multi-Family,4194000
201511,78728,Multi-Family,7000700
201601,78758,Irrigation - Residential,10500
201203,78731,Irrigation - Multi-Family,447700
201206,78737,Residential,13453500
201403,78722,Multi-Family,2366100
201307,78613,Multi-Family,433000
201508,78652,Residential,2416800
201505,78735,Multi-Family,8212000
201208,78717,Irrigation - Multi-Family,8200300
201607,78746,Residential,70028000
201307,78704,Irrigation - Multi-Family,2407500
201303,78753,Irrigation - Residential,2400
201505,78729,Irrigation - Residential,5100
201508,78660,Multi-Family,4771500
201312,78653,Residential,935200
201412,78703,Irrigation - Residential,552600
201809,78704,Residential,56312600
201604,78727,Irrigation - Multi-Family,2804100
201408,78752,Residential,13912700
201510,78729,Irrigation - Residential,6300
201701,78719,Residential,1493700
201602,78724,Irrigation - Multi-Family,102500
201407,78744,Irrigation - Multi-Family,1821800
201403,78722,Residential,7343400
201403,78752,Residential,10982000
201306,78613,Irrigation - Multi-Family,51000
201608,78702,Irrigation - Residential,13500
201605,78759,Multi-Family,37470400
201602,78724,Multi-Family,11803700
201701,78725,Irrigation - Residential,0
201612,78749,Multi-Family,16555500
201212,78747,Multi-Family,7417300
201701,78748,Irrigation - Multi-Family,4464400
201701,78724,Irrigation - Residential,19500
201807,78744,Irrigation - Multi-Family,4352700
201309,78725,Multi-Family,349900
201609,78756,Irrigation - Residential,75800
201401,78712,Residential,0
201209,78617,Residential,22260700
201806,78759,Irrigation - Residential,113600
201204,78724,Multi-Family,10912100
201710,78723,Multi-Family,24027100
201203,78652,Residential,696200
201208,78717,Irrigation - Residential,51300
201605,78660,Irrigation - Multi-Family,1145600
201203,78727,Multi-Family,21012400
201203,78735,Multi-Family,9733400
201609,78751,Multi-Family,13912200
201202,78719,Multi-Family,584700
201610,78701,Irrigation - Residential,36000
201401,78705,Multi-Family,28399300
201611,78725,Irrigation - Residential,0
201602,78745,Irrigation - Residential,52100
201302,78717,Irrigation - Multi-Family,1708900
201302,78736,Multi-Family,2042900
201507,78726,Irrigation - Residential,74900
201803,78613,Irrigation - Multi-Family,319100
201603,78756,Irrigation - Residential,30600
201308,78744,Irrigation - Multi-Family,2176800
201411,78727,Multi-Family,20058400
201208,78731,Irrigation - Residential,723100
201511,78717,Irrigation - Multi-Family,3566600
201803,78758,Residential,32004800
201602,78613,Irrigation - Multi-Family,608000
201401,78731,Residential,49735200
201403,78652,Irrigation - Residential,43400
201411,78746,Irrigation - Residential,288900
201210,78705,Irrigation - Multi-Family,426800
201203,78750,Irrigation - Residential,0
201212,78753,Irrigation - Residential,3000
201502,78758,Multi-Family,41953700
201202,78747,Residential,18220900
201609,78660,Multi-Family,4727600
201302,78729,Irrigation - Residential,10800
201502,78749,Multi-Family,14911000
201303,78652,Irrigation - Residential,55200
201512,78722,Irrigation - Multi-Family,134600
201507,78739,Residential,36325800
201507,78727,Residential,42812000
201207,78725,Residential,3040000
201702,78731,Irrigation - Multi-Family,320200
201604,78744,Irrigation - Residential,35700
201610,78730,Irrigation - Residential,205900
201209,78723,Irrigation - Multi-Family,412700
201301,78735,Multi-Family,10784100
201512,78746,Multi-Family,13184700
201607,78742,Multi-Family,267300
201201,78731,Multi-Family,16367600
201505,78745,Irrigation - Residential,54000
201209,78757,Irrigation - Residential,93000
201605,78729,Irrigation - Residential,2800
201509,78717,Irrigation - Residential,65800
201309,78613,Irrigation - Multi-Family,75000
201201,78748,Irrigation - Residential,0
201502,78722,Multi-Family,2215300
201407,78702,Residential,26922500
201705,78747,Residential,24918600
201609,78749,Irrigation - Residential,46800
201506,78759,Residential,52499300
201307,78748,Irrigation - Multi-Family,9658300
201610,78741,Irrigation - Residential,21000
201302,78759,Residential,49386100
201211,78736,Irrigation - Multi-Family,122000
201312,78724,Multi-Family,12139200
201205,78756,Irrigation - Residential,89400
201508,78705,Irrigation - Multi-Family,682900
201410,78749,Residential,60342300
201304,78705,Irrigation - Multi-Family,611400
201301,78729,Residential,22484300
201505,78705,Residential,8271600
201208,78721,Irrigation - Multi-Family,392000
201712,78735,Irrigation - Multi-Family,1510200
201703,78759,Irrigation - Residential,54700
201509,78727,Residential,61587000
201802,78758,Irrigation - Multi-Family,1523900
201312,78748,Irrigation - Residential,11900
201611,78746,Residential,45391200
201510,78702,Irrigation - Residential,41200
201307,78731,Irrigation - Multi-Family,1099700
201510,78729,Residential,28581000
201703,78731,Residential,45008300
201301,78752,Multi-Family,20669400
201303,78747,Irrigation - Multi-Family,445100
201611,78653,Irrigation - Residential,0
201411,78735,Irrigation - Multi-Family,915800
201510,78736,Multi-Family,2246100
201406,78729,Multi-Family,20566800
201307,78723,Irrigation - Multi-Family,295100
201411,78747,Multi-Family,7698500
201310,78741,Irrigation - Residential,25600
201405,78725,Residential,2598000
201211,78731,Multi-Family,20008300
201210,78613,Multi-Family,14000
201208,78701,Residential,1873300
201212,78741,Irrigation - Residential,20700
201208,78759,Irrigation - Residential,199900
201303,78721,Residential,14251900
201204,78705,Multi-Family,31612800
201609,78754,Irrigation - Residential,32300
201303,78705,Multi-Family,32908800
201805,78754,Residential,24591900
201807,78759,Residential,91282000
201406,78727,Multi-Family,19549200
201503,78702,Irrigation - Multi-Family,462200
201503,78660,Irrigation - Residential,6600
201606,78736,Irrigation - Residential,19700
201305,78741,Irrigation - Multi-Family,3874400
201502,78746,Irrigation - Multi-Family,113800
201503,78703,Multi-Family,11369200
201310,78730,Irrigation - Multi-Family,854900
