year_month,total_gallons
2014-11-01,288900
2012-03-01,0
2012-12-01,3000
2013-02-01,10800
2013-03-01,55200
2016-04-01,35700
2016-10-01,205900
2015-05-01,54000
2012-09-01,93000
2016-05-01,2800
2015-09-01,65800
2012-01-01,0
2016-09-01,46800
2016-10-01,21000
2012-05-01,89400
2017-03-01,54700
2013-12-01,11900
2015-10-01,41200
2016-11-01,0
2013-10-01,25600
2012-12-01,20700
2012-08-01,199900
2016-09-01,32300
2015-03-01,6600
2016-06-01,19700
2016-02-01,11300
2018-09-01,37900
2015-12-01,23400
2016-06-01,265300
2018-01-01,23600
2012-01-01,104800
2013-04-01,2800
2014-07-01,17600
2014-04-01,4200
2016-11-01,0
2015-09-01,36500
2014-10-01,20300
2015-07-01,2700
2013-03-01,9500
2016-03-01,360700
2016-04-01,11400
2012-03-01,42200
2012-10-01,0
2014-01-01,800
2014-01-01,2300
2013-08-01,54800
2013-11-01,10600
2016-04-01,32400
2018-04-01,56100
2012-09-01,691200
2013-04-01,41100
2012-02-01,1600
2012-11-01,174400
2013-02-01,59000
2016-02-01,11000
2013-06-01,54000
2015-11-01,12500
2012-03-01,19700
2015-10-01,2900
2012-01-01,0
2012-08-01,2162000
2016-12-01,30200
2016-09-01,29000
2015-08-01,977600
2018-03-01,0
2016-10-01,117500
2013-12-01,48200
2014-04-01,6600
2013-08-01,24000
2015-05-01,283400
2012-05-01,1701700
2016-08-01,2118800
2013-05-01,449800
2012-09-01,106500
2014-07-01,20900
2013-02-01,7900
2015-07-01,84400
2015-12-01,2600
2012-08-01,15000
2015-01-01,6700
2012-10-01,2800
2012-10-01,32600
2015-04-01,106900
2016-02-01,4100
2015-02-01,2400
2016-01-01,21300
2013-02-01,55800
2016-04-01,19100
2015-09-01,26900
2014-04-01,353600
2018-09-01,52600
2014-05-01,100200
2018-01-01,4000
2015-05-01,22500
2017-02-01,20300
2015-12-01,1600
2012-04-01,0
2015-06-01,46600
2016-12-01,24800
2015-04-01,29300
2015-05-01,16200
2015-12-01,26000
2012-11-01,65900
2015-03-01,65200
2015-07-01,233700
2012-03-01,300
2016-08-01,30100
2016-08-01,25600
2012-11-01,4200
2014-04-01,2600
2016-07-01,6500
2015-05-01,2400
2016-01-01,136900
2016-05-01,233600
2012-12-01,9500
2018-05-01,900
2015-12-01,388500
2015-09-01,23800
2013-10-01,21000
2017-03-01,9000
2015-10-01,99000
2017-02-01,32600
2013-06-01,23500
2013-04-01,11000
2014-01-01,4400
2013-01-01,19100
2014-11-01,81200
2015-04-01,16700
2014-12-01,44200
2016-05-01,7800
2014-01-01,60300
2012-11-01,21700
2014-10-01,27900
2015-08-01,13800
2018-03-01,56000
2015-05-01,10600
2014-04-01,20500
2013-06-01,1314600
2015-11-01,172900
2018-01-01,7500
2012-10-01,52600
2014-09-01,384400
2017-12-01,7200
2014-12-01,37400
2015-12-01,27100
2015-06-01,16900
2016-08-01,17000
2014-01-01,7900
2018-09-01,115200
2016-06-01,57000
2015-05-01,3600
2014-11-01,23000
2015-11-01,857100
2014-10-01,67100
2014-12-01,3500
2013-09-01,400
2013-12-01,3100
2018-06-01,96600
2016-01-01,51000
2013-04-01,14900
2014-06-01,10100
2015-07-01,80600
2015-02-01,1300
2016-07-01,43800
2016-02-01,18600
2014-02-01,3300
2014-05-01,2100
2016-05-01,15600
2013-02-01,2900
2015-02-01,167500
2014-01-01,100
2013-06-01,10900
2017-12-01,40000
2012-06-01,255600
2014-09-01,1828400
2013-03-01,9100
2016-10-01,23700
2015-05-01,61000
2015-03-01,28100
2016-12-01,3000
2016-03-01,20200
2016-09-01,34000
2017-04-01,59000
2014-01-01,46800
2014-11-01,21100
2018-04-01,53800
2014-09-01,788200
2015-04-01,0
2015-06-01,555100
2013-10-01,442200
2014-11-01,5300
2012-07-01,13100
2015-06-01,37300
2015-02-01,8200
2013-11-01,36900
2018-06-01,48700
2018-05-01,60700
2015-06-01,21500
2013-09-01,163900
2012-12-01,118900
2012-03-01,800
2015-12-01,2900
2012-10-01,1000
2012-10-01,14500
2013-05-01,5000
2016-04-01,63600
2013-12-01,11000
2012-05-01,5700
2014-07-01,46900
2012-03-01,500
2015-08-01,75600
2014-12-01,105800
2013-12-01,5700
2015-11-01,55800
2015-08-01,211300
2013-02-01,46800
2014-10-01,20400
2018-09-01,79900
2016-03-01,3700
2014-07-01,1218200
2017-02-01,37700
2012-09-01,39000
2016-12-01,31800
2014-11-01,31400
2014-10-01,1182600
2018-08-01,72600
2012-03-01,1300
2016-09-01,3300
2017-01-01,37100
2017-01-01,5600
2016-12-01,31200
2016-05-01,9300
2016-04-01,69600
2013-11-01,600
2012-06-01,49000
2012-11-01,900
2012-05-01,19100
2016-07-01,33000
2015-09-01,121900
2012-04-01,4300
2015-07-01,15500
2016-03-01,19300
2016-11-01,12800
2014-04-01,140200
2015-09-01,26100
2016-12-01,24100
2014-07-01,32800
2016-11-01,32200
2017-02-01,18200
2012-05-01,7600
2013-12-01,292300
2012-03-01,13900
2013-09-01,48200
2017-11-01,300
2014-04-01,9900
2013-02-01,0
2015-01-01,21100
2016-09-01,81200
2016-12-01,0
2014-07-01,24700
2017-12-01,13100
2015-08-01,28300
2016-10-01,35300
2018-04-01,12500
2012-05-01,531000
2015-10-01,940000
2013-12-01,4500
2014-01-01,15600
2014-11-01,1187900
2017-03-01,67900
2015-09-01,6700
2012-08-01,6300
2016-02-01,8200
2012-11-01,1561800
2015-11-01,0
2016-10-01,85900
2015-05-01,8700
2013-12-01,1700
2016-08-01,6600
2015-05-01,14400
2012-02-01,1300
2015-03-01,25700
2018-06-01,36200
2012-09-01,4000
2016-11-01,55200
2013-02-01,4000
2013-07-01,8200
2015-10-01,5700
2016-01-01,1800
2014-10-01,13100
2016-11-01,53400
2014-07-01,34500
2015-06-01,6200
2016-11-01,36300
2016-07-01,46300
2016-12-01,95600
2015-04-01,4600
2014-02-01,2100
2016-08-01,23100
2013-07-01,8300
2014-04-01,68900
2013-09-01,11900
2016-05-01,8300
2015-03-01,5900
2014-05-01,1356900
2015-03-01,4400
2016-09-01,18900
2014-04-01,14100
2016-10-01,0
2014-07-01,143500
2016-04-01,5000
2013-01-01,4100
2013-05-01,22800
2013-08-01,100000
2015-04-01,237300
2014-01-01,8700
2016-02-01,37200
2012-09-01,340100
2018-08-01,2144400
2017-01-01,11500
2015-04-01,28800
2012-09-01,10400
2012-10-01,40600
2016-10-01,47100
2012-11-01,4500
2014-05-01,107900
2017-02-01,3100
2016-11-01,33500
2012-10-01,446700
2013-09-01,27900
2014-04-01,64900
2014-05-01,8300
2017-04-01,10200
2016-04-01,9000
2012-06-01,88100
2013-08-01,146200
2018-06-01,64000
2014-05-01,22700
2015-11-01,74000
2013-03-01,6500
2014-08-01,747100
2017-10-01,26100
2015-11-01,8700
2015-04-01,0
2012-05-01,107100
2015-04-01,26900
2015-11-01,200
2013-12-01,44200
2017-03-01,15800
2013-06-01,20400
2015-01-01,2600
2013-05-01,97600
2017-03-01,36200
2015-09-01,8200
2017-01-01,1600
2016-02-01,294200
2016-03-01,1600
2013-12-01,23700
2015-08-01,19300
2016-03-01,6200
2018-02-01,28800
2017-04-01,63900
2014-01-01,0
2016-08-01,112800
2016-06-01,34200
2013-06-01,125300
2016-07-01,48800
2012-05-01,14200
2013-11-01,9200
2015-11-01,2800
2013-10-01,12200
2013-04-01,9700
2014-06-01,2900
2015-01-01,19400
2013-10-01,4200
2014-02-01,226000
2012-05-01,122400
2013-02-01,8300
2013-04-01,3900
2013-11-01,1600
2012-12-01,1600
2016-02-01,5000
2018-08-01,105800
2013-02-01,0
2014-09-01,50700
2015-01-01,3600
2012-09-01,836600
2012-08-01,32300
2016-07-01,22200
2012-07-01,18600
2014-09-01,39500
2017-10-01,1427600
2017-01-01,248100
2015-02-01,8400
2016-02-01,8800
2018-05-01,1048800
2013-08-01,0
2015-08-01,43200
2012-11-01,4900
2016-06-01,710600
2017-10-01,118400
2014-05-01,20800
2016-01-01,30500
2012-08-01,56000
2012-08-01,619500
2016-09-01,2000
2014-06-01,192300
2018-06-01,20000
2014-07-01,2200
2016-02-01,20600
2013-06-01,11600
2013-10-01,500
2015-01-01,24500
2018-04-01,6400
2017-12-01,851800
2016-02-01,22700
2015-02-01,13300
2016-07-01,34600
2014-01-01,2900
2016-01-01,33600
2013-02-01,54500
2016-11-01,5700
2012-05-01,426200
2013-02-01,852600
2012-06-01,27700
2015-10-01,112700
2013-04-01,120400
2015-03-01,20400
2017-02-01,0
2016-01-01,6800
2015-03-01,15800
2013-09-01,54200
2014-11-01,75300
2012-04-01,19800
2014-05-01,17100
2013-07-01,160800
2015-10-01,30500
2015-04-01,24800
2016-08-01,27800
2014-02-01,0
2018-01-01,5700
2014-12-01,78700
2017-12-01,19600
2012-07-01,20900
2015-08-01,166900
2013-04-01,350900
2013-08-01,269100
2013-07-01,50600
2015-02-01,3600
2014-03-01,2200
2012-07-01,31000
2015-01-01,5900
2015-07-01,1258000
2012-09-01,23700
2017-04-01,24600
2014-01-01,10300
2018-07-01,66600
2012-04-01,13900
2013-06-01,96400
2016-06-01,325500
2016-06-01,6500
2014-11-01,97300
2015-03-01,83800
2012-05-01,70000
2015-06-01,9300
2017-01-01,8000
2012-03-01,173600
2012-08-01,157600
2016-11-01,8900
2016-01-01,11300
2012-11-01,500
2014-07-01,19800
2014-11-01,25600
2013-07-01,48600
2016-10-01,32300
2018-07-01,6600
2012-09-01,0
2013-12-01,2800
2012-05-01,77900
2014-12-01,4900
2012-08-01,22900
2013-01-01,2000
2015-04-01,6400
2014-02-01,15200
2017-02-01,10400
2017-10-01,25900
2013-12-01,1600
2016-05-01,24900
2016-03-01,67800
2015-09-01,87100
2012-01-01,17300
2012-08-01,9600
2012-03-01,1000
2014-03-01,49000
2018-03-01,12500
2014-08-01,117200
2014-08-01,3100
2015-11-01,2700
2015-01-01,15900
2017-12-01,300
2013-10-01,2400
2017-04-01,46200
2016-01-01,167500
2015-04-01,2000
2013-02-01,27700
2016-05-01,505000
2016-03-01,6000
2017-04-01,23200
2013-08-01,8500
2016-06-01,22100
2014-01-01,81700
2017-04-01,30400
2016-07-01,16900
2015-09-01,79200
2014-06-01,4000
2012-03-01,0
2014-03-01,900
2013-08-01,38600
2016-10-01,45800
2012-04-01,0
2012-12-01,1522500
2012-06-01,5800
2016-07-01,875800
2016-03-01,28800
2014-09-01,58100
2017-02-01,29000
2015-07-01,24300
2018-03-01,20600
2016-05-01,177800
2013-12-01,1100
2014-07-01,102700
2015-01-01,38200
2016-11-01,28400
2012-08-01,171200
2013-11-01,2900
2012-11-01,298400
2015-08-01,1124600
2012-03-01,5900
2016-09-01,5400
2013-04-01,41200
2016-03-01,48400
2016-12-01,45200
2015-01-01,9600
2014-02-01,96800
2014-02-01,900
2017-11-01,20300
2014-02-01,7900
2014-07-01,612900
2012-12-01,4900
2015-10-01,14300
2014-06-01,34500
2016-05-01,25100
2012-05-01,0
2016-01-01,3800
2015-02-01,13800
2015-05-01,527400
2013-07-01,18300
2012-05-01,20900
2012-01-01,0
2013-07-01,22700
2017-02-01,227700
2013-11-01,15100
2017-04-01,28800
2015-09-01,35400
2012-10-01,5500
2015-07-01,5900
2015-08-01,95000
2014-09-01,556800
2012-12-01,450300
2015-01-01,415000
2017-02-01,8500
2013-11-01,43800
2012-01-01,224700
2015-12-01,23100
2012-07-01,113300
2014-08-01,320500
2015-11-01,109600
2017-11-01,17800
2013-11-01,154100
2017-11-01,45900
2017-04-01,852500
2014-11-01,42800
2012-05-01,19400
2018-04-01,27800
2013-11-01,33500
2012-04-01,5600
2016-11-01,1212300
2012-04-01,162400
2015-06-01,363600
2012-11-01,64700
2015-09-01,69100
2016-04-01,135100
2015-08-01,52300
2014-06-01,14000
2017-12-01,11800
2015-12-01,35600
2012-01-01,18800
2015-04-01,56900
2015-11-01,196700
2014-07-01,3200
2012-07-01,292400
2016-02-01,125000
2017-04-01,48900
2015-10-01,41400
2015-02-01,19000
2012-04-01,42700
2012-02-01,0
2018-06-01,310300
2016-11-01,96300
2012-02-01,3000
2013-08-01,34000
2016-11-01,5500
2014-07-01,24700
2013-11-01,25900
2015-05-01,8700
2013-08-01,37600
2014-03-01,3100
2015-02-01,23800
2013-10-01,26800
2015-04-01,6300
2015-08-01,97600
2012-06-01,611900
2014-11-01,4300
2018-07-01,28400
2016-12-01,5600
2013-01-01,13300
2016-11-01,158300
2013-06-01,5600
2015-10-01,20700
2017-11-01,52500
2014-05-01,18500
2016-11-01,17300
2013-10-01,15900
2014-12-01,36900
2015-11-01,3900
2016-04-01,6700
2014-08-01,18600
2013-12-01,78600
2015-07-01,33800
2014-05-01,81100
2012-04-01,32000
2016-06-01,19200
2013-09-01,20100
2016-02-01,19600
2016-12-01,12900
2012-01-01,5200
2015-07-01,12000
2017-01-01,23800
2016-03-01,5800
2017-11-01,24400
2013-01-01,87800
2012-03-01,34900
2012-09-01,55400
2016-04-01,5700
2016-02-01,700
2016-10-01,66000
2015-10-01,24600
2012-11-01,97800
2013-12-01,7700
2014-07-01,18800
2014-04-01,50900
2016-03-01,161000
2014-08-01,15300
2012-12-01,80900
2014-04-01,1800
2013-10-01,20300
2012-12-01,96900
2014-05-01,19400
2017-04-01,1800
2016-06-01,9900
2015-08-01,60100
2018-05-01,0
2014-03-01,7600
2017-03-01,5000
2018-01-01,49100
2014-05-01,185500
2016-07-01,49900
2015-06-01,5300
2014-10-01,17200
2014-05-01,16000
2013-03-01,79200
2014-09-01,7000
2015-04-01,58900
2012-03-01,27000
2014-10-01,99000
2013-08-01,10700
2012-12-01,41200
2016-02-01,15300
2012-06-01,12600
2013-06-01,40800
2014-07-01,229400
2018-02-01,2400
2012-11-01,7700
2013-03-01,54400
2014-09-01,20900
2015-12-01,222500
2013-02-01,235100
2015-10-01,109900
2012-08-01,8400
2012-05-01,26100
2014-01-01,10100
2014-08-01,33800
2014-02-01,700
2014-06-01,3000
2017-01-01,10400
2012-02-01,48700
2015-02-01,46700
2014-09-01,30500
2012-04-01,2000
2014-05-01,26700
2013-07-01,108500
2016-09-01,261500
2018-01-01,8900
2012-12-01,64400
2014-08-01,12700
2014-05-01,51500
2016-06-01,20200
2017-04-01,2000
2012-04-01,9400
2014-03-01,19300
2016-12-01,7900
2013-04-01,24800
2012-11-01,10600
2017-12-01,13000
2012-09-01,17300
2014-09-01,3400
2016-03-01,903800
2015-04-01,41900
2014-12-01,16800
2015-12-01,1000
2015-08-01,1700
2017-12-01,30200
2017-12-01,0
2013-12-01,7000
2012-12-01,319400
2016-05-01,32500
2017-04-01,13500
2016-03-01,20800
2014-01-01,26200
2017-01-01,27400
2015-12-01,31600
2014-03-01,12000
2016-04-01,17900
2013-10-01,39700
2014-07-01,90300
2015-10-01,389400
2015-02-01,1400
2013-05-01,1000
2015-02-01,73100
2015-09-01,145700
2012-02-01,6300
2014-11-01,8600
2015-04-01,5100
2018-01-01,34400
2018-09-01,5800
2014-04-01,2500
2016-03-01,14500
2015-01-01,12900
2015-09-01,50800
2013-10-01,52100
2012-10-01,19500
2015-05-01,8500
2016-07-01,345300
2012-05-01,0
2015-03-01,27300
2013-05-01,120000
2013-07-01,61800
2012-09-01,12400
2016-05-01,5400
2013-11-01,8700
2016-12-01,0
2015-12-01,10000
2014-09-01,10000
2014-06-01,21000
2016-08-01,854500
2016-10-01,27400
2016-02-01,0
2017-03-01,113100
2013-07-01,203300
2015-10-01,46600
2012-09-01,3300
2016-02-01,22400
2013-10-01,25200
2015-03-01,14600
2012-11-01,39700
2014-09-01,43100
2016-12-01,3600
2013-09-01,104200
2012-06-01,0
2014-03-01,238900
2012-09-01,33900
2012-02-01,201800
2016-06-01,23300
2017-02-01,20900
2015-05-01,5000
2016-07-01,7600
2016-07-01,113100
2015-06-01,49000
2013-08-01,51500
2014-03-01,56900
2013-07-01,43400
2014-10-01,23400
2013-12-01,37100
2015-06-01,21600
2012-01-01,0
2012-02-01,56200
2012-07-01,7500
2012-06-01,809700
2012-07-01,74600
2017-01-01,3800
2012-01-01,784300
2016-09-01,73100
2013-06-01,22500
2012-08-01,2100
2015-07-01,112600
2015-05-01,32400
2014-05-01,42700
2013-05-01,45300
2012-07-01,396800
2013-09-01,176700
2013-12-01,3700
2014-08-01,29600
2014-06-01,1148700
2017-03-01,6200
2013-08-01,16000
2013-12-01,13400
2013-09-01,66400
2014-04-01,82200
2014-10-01,75800
2017-01-01,7700
2014-11-01,367100
2015-06-01,26600
2016-08-01,6200
2015-01-01,6600
2012-09-01,50300
2015-07-01,7500
2012-10-01,10900
2016-07-01,47000
2018-06-01,27900
2016-04-01,17000
2013-07-01,1792200
2012-02-01,0
2016-10-01,6300
2012-09-01,22700
2012-07-01,22700
2015-11-01,26700
2014-10-01,26600
2017-04-01,11100
2016-10-01,1410100
2012-05-01,7900
2013-02-01,1800
2013-01-01,40900
2012-06-01,53100
2013-01-01,7200
2016-11-01,453600
2013-06-01,45300
2013-10-01,31000
2013-09-01,330100
2013-06-01,8200
2016-11-01,203000
2016-11-01,28600
2014-10-01,111100
2015-08-01,6200
2014-06-01,27300
2016-09-01,148900
2013-06-01,48200
2017-03-01,15200
2016-01-01,32200
2014-08-01,10900
2014-02-01,1700
2018-09-01,1000
2015-09-01,11500
2014-02-01,4500
2012-12-01,30300
2013-09-01,8400
2012-08-01,59500
2017-02-01,1600
2013-10-01,2200
2015-06-01,194100
2012-01-01,1000
2015-07-01,30400
2018-01-01,0
2012-02-01,654000
2012-12-01,15200
2012-08-01,350900
2017-03-01,16300
2015-08-01,35500
2015-02-01,18000
2013-11-01,3500
2012-06-01,43800
2012-09-01,171200
2012-07-01,33200
2016-05-01,6500
2016-06-01,19000
2014-08-01,300
2014-06-01,117000
2012-03-01,38900
2013-03-01,11600
2016-06-01,10400
2013-05-01,11600
2014-09-01,132200
2016-05-01,0
2013-07-01,63800
2012-04-01,57500
2016-04-01,2300
2018-08-01,68300
2012-01-01,24500
2016-08-01,364800
2017-04-01,312000
2016-01-01,21100
2013-09-01,41600
2012-01-01,209300
2015-11-01,47900
2012-12-01,22400
2017-03-01,254200
2015-01-01,49100
2016-01-01,30400
2012-03-01,197700
2013-02-01,5800
2018-08-01,124900
2013-05-01,3000
2016-07-01,102800
2014-03-01,36400
2015-12-01,29800
2016-08-01,31800
2015-01-01,16200
2015-04-01,16700
2017-02-01,6500
2014-07-01,15300
2017-01-01,52400
2014-01-01,3500
2015-10-01,98900
2018-07-01,127500
2014-01-01,4200
2015-03-01,7700
2012-09-01,68100
2015-04-01,17000
2014-08-01,119600
2016-11-01,53000
2013-09-01,835500
2014-06-01,68100
2012-10-01,4000
2013-07-01,802500
2014-11-01,24800
2013-08-01,30300
2016-09-01,99300
2018-08-01,45700
2014-10-01,68500
2013-11-01,25200
2012-10-01,523400
2012-11-01,10600
2013-03-01,800
2015-08-01,6200
2016-08-01,861800
2014-05-01,472400
2013-01-01,68500
2013-06-01,489600
2013-11-01,15600
2015-12-01,195400
2012-12-01,41300
2014-01-01,1700
2016-01-01,2500
2017-01-01,33600
2014-06-01,22700
2017-03-01,33200
2016-12-01,7300
2016-04-01,0
2016-12-01,14200
2015-11-01,20100
2016-02-01,638200
2014-06-01,11000
2017-02-01,5600
2013-09-01,100
2012-03-01,3700
2014-04-01,34800
2016-07-01,156100
2017-11-01,463500
2014-02-01,46900
2016-10-01,83200
2012-12-01,3200
2016-04-01,765000
2012-11-01,533700
2012-08-01,11100
2013-08-01,19800
2017-01-01,24500
2015-02-01,3800
2013-09-01,99300
2015-11-01,311000
2015-10-01,102400
2015-05-01,4100
2015-03-01,1900
2013-03-01,68300
2012-07-01,23200
2015-09-01,32500
2012-02-01,600
2016-04-01,18100
2014-12-01,1800
2014-04-01,23400
2017-04-01,0
2016-06-01,0
2014-11-01,29100
2013-05-01,193000
2012-10-01,40100
2015-11-01,16900
2012-06-01,12000
2014-02-01,246800
2013-03-01,3300
2016-07-01,32400
2015-03-01,11100
2013-10-01,2600
2013-11-01,3600
2013-07-01,123600
2015-12-01,72300
2014-04-01,14800
2016-06-01,29700
2014-03-01,55600
2014-10-01,10200
2017-12-01,21800
2016-07-01,11400
2014-03-01,3300
2012-08-01,0
2017-10-01,102700
2014-08-01,54800
2015-07-01,1500
2014-01-01,38700
2014-12-01,30200
2013-04-01,10900
2015-06-01,24300
2015-07-01,7700
2017-01-01,39300
2018-01-01,20400
2013-10-01,41500
2015-10-01,11700
2013-04-01,2700
2015-06-01,32200
2016-12-01,15200
2018-08-01,15300
2013-04-01,414200
2014-10-01,19600
2016-03-01,0
2012-09-01,0
2015-05-01,30600
2015-09-01,419000
2012-07-01,19200
2014-04-01,9900
2018-03-01,11800
2014-01-01,63500
2015-05-01,23900
2014-03-01,13100
2014-10-01,395000
2014-06-01,142700
2014-07-01,22500
2013-05-01,40700
2012-04-01,70800
2013-08-01,828700
2015-08-01,24000
2014-12-01,4200
2012-04-01,7200
2014-04-01,10400
2016-01-01,5300
2014-06-01,60900
2013-09-01,1900
2012-04-01,37100
2017-12-01,54500
2014-05-01,14800
2013-08-01,7800
2012-02-01,21100
2012-06-01,204500
2015-02-01,29400
2012-05-01,81700
2013-11-01,10400
2013-10-01,86000
2015-09-01,6000
2016-07-01,35100
2013-10-01,9400
2016-02-01,37400
2012-01-01,29300
2015-08-01,42500
2017-01-01,23600
2015-01-01,20900
2012-01-01,0
2016-03-01,80900
2013-04-01,1200
2014-12-01,2200
2016-06-01,3600
2016-08-01,42100
2014-07-01,8600
2013-07-01,725800
2016-05-01,1700
2015-09-01,13600
2015-09-01,2408600
2014-09-01,43100
2016-05-01,21500
2015-04-01,643300
2014-06-01,444400
2013-10-01,1455400
2014-09-01,58000
2014-03-01,1000
2013-07-01,38500
2013-04-01,13700
2018-08-01,151700
2013-06-01,158000
2014-04-01,45400
2017-02-01,7400
2017-01-01,11900
2018-08-01,10500
2014-06-01,14800
2012-09-01,156300
2012-08-01,84800
2013-11-01,25600
2015-11-01,111300
2016-04-01,24900
2012-04-01,3500
2015-03-01,24800
2012-04-01,1800
2017-11-01,22800
2018-07-01,29500
2016-12-01,10500
2016-01-01,17100
2013-07-01,5200
2013-02-01,0
2015-07-01,200
2015-09-01,33600
2013-10-01,88400
2014-05-01,2300
2013-12-01,21000
2015-10-01,152200
2015-01-01,156700
2017-04-01,30400
2012-09-01,48900
2014-01-01,9900
2016-09-01,27600
2017-04-01,66700
2016-04-01,30500
2015-06-01,12600
2012-05-01,207800
2015-05-01,341000
2017-10-01,139200
2017-12-01,3400
2017-03-01,31500
2013-05-01,20900
2015-02-01,19400
2016-09-01,686300
2016-02-01,11200
2014-08-01,23200
2015-03-01,159000
2016-09-01,270900
2016-02-01,1800
2014-06-01,19100
2013-05-01,24000
2017-01-01,2200
2016-07-01,72400
2014-12-01,41100
2012-06-01,68200
2018-04-01,0
2014-04-01,33700
2015-05-01,200
2012-10-01,24400
2012-04-01,321800
2015-09-01,838700
2016-03-01,61700
2012-04-01,0
2016-11-01,29800
2014-08-01,23600
2015-02-01,17700
2014-01-01,800
2013-06-01,81700
2012-09-01,2286500
2017-03-01,18000
2015-04-01,245100
2014-10-01,4700
2016-11-01,48900
2014-03-01,3200
2017-02-01,569100
2012-12-01,45800
2017-11-01,80000
2016-07-01,5300
2012-03-01,1300
2013-02-01,76700
2016-09-01,33000
2013-03-01,51900
2015-12-01,1700
2012-11-01,112400
2013-01-01,207700
2015-10-01,5600
2016-03-01,37600
2016-05-01,30700
2017-04-01,22500
2013-05-01,9800
2013-02-01,49400
2015-03-01,0
2013-01-01,1144900
2015-08-01,359600
2013-04-01,43500
2016-09-01,5100
2013-07-01,58300
2012-06-01,11900
2015-09-01,100
2013-10-01,12900
2015-08-01,80800
2013-01-01,250000
